product_category_name_english,total_orders,late_rate_pct,avg_delivery_delay,total_gmv
audio,364,11.54,-10.149171270718233,60324.62
consoles_games,1137,5.63,-11.679522497704315,195480.38
cool_stuff,3796,5.72,-12.492469069392147,779698.0
dvds_blu_ray,64,6.25,-13.360655737704919,7935.28
la_cuisine,14,0.0,-16.357142857142858,2913.53
market_place,311,3.54,-14.62295081967213,45335.92
pet_shop,1947,4.88,-12.536382536382536,311268.97
unknown,105792,6.46,-12.005256855816127,19067769.96
