Metric,Value
Total Orders Analyzed,"113,425"
Overall Late Delivery Rate,6.4%
Total GMV Analyzed,"$20,470,727"
GMV from Late Orders,"$1,368,553"
Estimated Direct Revenue at Risk,"$342,138"
Estimated LTV Revenue at Risk,"$1,026,415"
Sellers in Critical Quadrant,155
GMV held by Critical Sellers,"$5,654,589"
Worst Performing State,AL
Review Score Drop (On-Time vs 7+ days late),4.14 → 1.70
