delay_bucket,order_count,avg_review,total_gmv
0 - On Time / Early,102931,4.208267748610908,18407117.52
1 - Late 1-3 days,2110,3.2308429118773945,363056.46
2 - Late 4-7 days,2007,2.0898095728255277,392339.34
3 - Late 8-14 days,1618,1.6858407079646018,308985.89
4 - Late 14+ days,4759,1.7341217696014017,999227.45
